token,count,label
lanpan,83,uncommon
powe,60,obscure
majuna,49,uncommon
kijetesantakalu,44,common
soko,41,common
meso,39,uncommon
epiku,39,uncommon
misikeke,36,common
jasima,35,uncommon
n,31,common
tonsi,30,common
leko,17,common
kisa,13,unknown
usawi,10,obscure
ku,9,common
kiki,7,obscure
isipin,5,obscure
omekapo,5,obscure
taki,4,obscure
apeja,3,obscure
enepi,3,unknown
mijomi,3,obscure
30,2,unknown
pake,2,obscure
pata,2,unknown
ton,2,unknown
jami,2,
27,2,
wan…,2,
e4,2,
linluwi,2,
wa,2,
sun,2,
mijo,1,
mulapisu,1,
onki,1,
wakiwaki,1,
kakatutututu,1,
☭,1,
e5,1,
95,1,
ete,1,
luki,1,
—,1,
loki,1,
palie,1,
d5,1,
d4,1,
2020,1,
ane,1,
pola,1,
misa,1,
wekama,1,
luka,1,
on,1,
monsutali,1,
moke,1,
uwu,1,
lukin…,1,
…,1,
kiwi,1,
melome,1,
kokosila,1,
oni,1,
il,1,
420,1,
pfirsichbaeumchen,1,
name@email.com,1,
nala,1,
asa,1,
surrender,1,
waleja,1,
in,1,
